,0,1,2,3,4,5,6,7,8,9
index,10991.980176211453,11082.713068181818,11212.301024428683,11419.166666666666,10933.154891304348,11513.241794310723,10096.138095238095,11441.24823943662,10656.590405904059,12578.882352941177
public_metrics.retweet_count,0.18722466960352424,0.20454545454545456,0.14814814814814814,0.21261682242990654,1.088768115942029,0.1487964989059081,0.0761904761904762,0.07746478873239436,0.24538745387453875,0.7058823529411765
public_metrics.reply_count,0.801762114537445,1.0170454545454546,0.8163908589440504,0.7585669781931464,1.0797101449275361,0.9507658643326039,0.7619047619047619,0.7887323943661971,0.9686346863468634,0.17647058823529413
public_metrics.like_count,2.9933920704845813,3.5681818181818183,4.972419227738377,3.7429906542056073,7.759963768115942,5.358862144420131,2.6666666666666665,3.6285211267605635,5.544280442804428,2.372549019607843
public_metrics.quote_count,0.00881057268722467,0.017045454545454544,0.026792750197005517,0.016355140186915886,0.14130434782608695,0.03282275711159737,0.02857142857142857,0.014084507042253521,0.03136531365313653,0.0196078431372549
is_retweet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neun_euro_context,0.048458149779735685,0.04261363636363636,0.055161544523246654,0.04361370716510903,0.09873188405797101,0.06892778993435449,0.03333333333333333,0.05457746478873239,0.05904059040590406,0.0
positive,-1.410725367095502,-1.7466163726481185,-1.5097831545311038,-1.4163671115361085,-1.7659365670634029,-1.7530962687344402,-1.2494783913805372,-1.544370067738731,-1.1147985245853773,-2.4504331186705945
negative,0.7927438804083853,0.7499614738097246,0.7581879220803109,0.6343914238167375,-0.08071121007905922,1.2021743998551004,1.134490317443297,0.9086327445299798,1.130700286835212,1.7868504757974661
neutral,1.2911233642479067,1.7859358196781778,1.4452904310955177,1.443824163095509,2.8038821609292612,1.2763187707742143,0.5675458778937658,1.291936563826363,0.43191513941516735,1.815401310137674
created_at_week,22.814977973568283,22.875,22.95350669818755,23.035046728971963,22.794384057971016,23.099562363238512,22.30952380952381,23.056338028169016,22.583025830258304,23.274509803921568
